ACT Symbol,Company name,GICS industry group
14D,1414 DEGREES LIMITED,Capital Goods
29M,29METALS LIMITED,Materials
T3D,333D LIMITED,Commercial & Professional Services
TCF,360 CAPITAL MORTGAGE REIT,Not Applic
TOT,360 CAPITAL REIT,Equity Real Estate Investment Trusts (REITs)
TDO,3D ENERGI LIMITED,Energy
3PL,3P LEARNING LIMITED..,Consumer Services
49M,49 METALS LIMITED,Materials
4DX,4DMEDICAL LIMITED,Health Care Equipment & Services
4DS,4DS MEMORY LIMITED,Semiconductors & Semiconductor Equipment
5GN,5G NETWORKS LIMITED.,Software & Services
6KA,"6K ADDITIVE, INC.",Materials
88E,88 ENERGY LIMITED,Energy
8CO,8COMMON LIMITED,Software & Services
8IH,8I HOLDINGS LTD,Financial Services
ABG,ABACUS GROUP,Equity Real Estate Investment Trusts (REITs)
ASK,ABACUS STORAGE KING,Equity Real Estate Investment Trusts (REITs)
ABX,ABX GROUP LIMITED,Materials
AKG,ACADEMIES AUSTRALASIA GROUP LIMITED,Consumer Services
AX8,ACCELERATE RESOURCES LIMITED,Materials
AX1,ACCENT GROUP LIMITED,Consumer Discretionary Distribution & Retail
ACS,ACCENT RESOURCES NL,Materials
ADC,ACDC METALS LTD,Materials
ACQ,ACORN CAPITAL INVESTMENT FUND LIMITED,Not Applic
ACF,ACROW LIMITED,Capital Goods
ACR,ACRUX LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ACW,ACTINOGEN MEDICAL LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ATV,ACTIVEPORT GROUP LTD,Software & Services
AIV,ACTIVEX LIMITED,Materials
ACU,ACUMENTIS GROUP LIMITED,Real Estate Management & Development
ACE,ACUSENSUS LIMITED.,Software & Services
ADH,ADAIRS LIMITED,Consumer Discretionary Distribution & Retail
1AD,ADALTA LIMITED,"Pharmaceuticals, Biotechnology & Life Sciences"
ADD,ADAVALE RESOURCES LIMITED,Energy
AHE,ADHERIS HEALTH LIMITED,Health Care Equipment & Services
ADR,ADHERIUM LIMITED,Health Care Equipment & Services
AI1,ADISYN LTD,Software & Services
ADY,ADMIRALTY RESOURCES NL.,Materials
AD1,ADNEO LIMITED,Media & Entertainment
ABY,ADORE BEAUTY GROUP LIMITED,Consumer Discretionary Distribution & Retail
AHL,ADRAD HOLDINGS LIMITED,Automobiles & Components
ADS,ADSLOT LTD.,Software & Services
AVM,ADVANCE METALS LIMITED,Materials
ANO,ADVANCE ZINCTEK LIMITED,Materials
ABV,ADVANCED BRAKING TECHNOLOGY LTD,Automobiles & Components
AEM,ADVANCED ENERGY MINERALS LTD,Materials
AIH,ADVANCED INNERGY HOLDINGS LIMITED,Capital Goods
AV1,ADVERITAS LIMITED,Software & Services
ADX,ADX ENERGY LTD,Energy
AER,AEERIS LTD,Media & Entertainment
AEI,AERIS ENVIRONMENTAL LTD,Commercial & Professional Services
AIS,AERIS RESOURCES LIMITED,Materials
AMX,AEROMETREX LIMITED,Commercial & Professional Services
AFL,AF LEGAL GROUP LTD,Commercial & Professional Services
AFT,AFG 2023-1 TRUST IN RESPECT OF SERIES 2023-1,Not Applic
AF4,AFG 2024-1 TRUST IN RESPECT OF SERIES 2024-1,Not Applic
