FinInstrmId,TckrSymb,SctySrs,FinInstrmNm,ISIN,NewBrdLotQty,ParVal,SctyTpFlg,BidIntrvl,TrckgInd,CallAuctnInd,BookClsrStartDt,BookClsrEndDt,NoDlvryStartDt,NoDlvryEndDt,IssdCptl,PrtdToTrad,PricRg,SctyStsNrmlMkt,ElgbltyNrmlMkt,SctyStsOddLotMkt,ElgbltyOddLotMkt,SctyStsRETDBTMkt,ElgbltyRETDBTMkt,SctyStsAuctnMkt,ElgbltyAuctnMkt,SctyStsAddtlMkt1,ElgbltyAddtlMkt1,SctyStsAddtlMkt2,ElgbltyAddtlMkt2,IsseDt,FrstPmtDt,MtrtyDt,MaxTradQtyPctg,ListgDt,RmvlDt,RadmssnDt,RcrdDt,IndxPrtcptnInd,AllOrNn,MinFill,SttlmTp,Dvdd,Rghts,Bns,Intrst,AGMtg,EGMtg,MktMakrSprd,MktMakrMinQty,AddtlInf,UpdDt,DelFlg,SpclExDt,Xchg,UnqPdctIdr,SctyTp,TickSz,Rsvd01,Sts,ExDvddDt,ExBnsDt,ExRghtsDt,FinInstrmTp,InstrmTp,TradgPrtd,BuyBckInd,TradToTradInd,Indx,IndxInstrm,FinInstrmAttrbts,MinLot,UndrlygInstrmAsstClss,UndrlygInstrm,UndrlygFinInstrmId,BlckDealAllwdFlg,InstrmNm,MktTpAndId,UnitOfMeasr,PricQtQty,PricRgTp,MaxPric,MinPric,SttlmMtd,InitlMrgnTp,BuyInitlMrgnRate,IssePric,MaxSnglTxnQty,MaxSnglTxnVal,AsstClss,PricNmrtr,Spcfctn,PricDnmtr,GnlNmrtr,GnlDnmtr,LotNmrtr,LotDnmtr,DcmlstnPric,SrsSttlmTp,FreeFltCptl,SellInitlMrgnRate,RatgDtls,FinInstrmClssfctn,SpclMrgnTp,BuySpclMrgnRat,SellSpclMrgnRat,PreOpnAllwdFlg,ClssfctnTp,MtchgCrit,ValMtd,SLBMElgblty,Sgmt,Ccy,SttlmCcy,Rsvd02,Rsvd03,Rsvd04,Rsvd05,Rsvd06,Rsvd07
100440,HINDALCO#,A,HINDALCO INDUSTRIES LTD.,INE038A01020,1,100,EQ,0.05,0,0,2024-08-10,2024-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,BSE,1-1744,D,0.05,N,A,2024-08-09,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132218,SOUTHBANK#,A,SOUTH INDIAN BANK LTD.,INE683A01023,1,100,EQ,0.01,0,0,2024-08-21,2024-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,BSE,1-1744,D,0.01,N,S,2024-08-20,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144057,HAPPYFORGE#,B,Happy Forgings Limited,INE330T01021,1,200,EQ,0.05,0,0,2024-07-23,2024-07-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,BSE,3-1742,D,0.05,N,S,,,,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440001,MFINNC-ML,FC,MFIN -NCDIII-12.25% ANNUAL,INE414G07100,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,2-349,D,0.01,Y,S,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440002,RFLNCDO-ML,FC,RFL -NCD-O1C2-12.25% ANNUAL,INE958G07544,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,2-349,D,0.01,Y,S,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440004,12IIFL-ML,FC,IIFL-12%-I-13-10-16-NCD,INE866I07578,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,2-349,D,0.01,Y,S,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440007,743RE-ML,FC,REC-7.43%-5-11-35-S-3B-NCD,INE020B07JU4,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,2-349,D,0.01,Y,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440008,735NHA-ML,FC,NHAI-7.35%-11-1-31-TAXFREENCD,INE906B07EI0,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,3-348,D,0.01,N,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440009,76NHA-ML,FC,NHAI-7.6%-11-1-31-TAXFREENCD,INE906B07EJ8,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,3-348,D,0.01,N,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440010,774IRED-ML,FC,IREDA-7.74%-21-1-31-TAXFREENCD,INE202E07229,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,2-349,D,0.01,Y,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440011,764HUDC-ML,FC,HUDCO-7.64%-8-2-31-TAXFREENCD,INE031A07AO5,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,2-349,D,0.01,Y,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440012,769NHA-ML,FC,NHAI-7.69%-9-3-31-TAXFREENCD,INE906B07EP5,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,3-348,D,0.01,N,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440013,739HUDCO-ML,FC,HUDCO-7.39%-15-3-31-TAXFREENCD,INE031A07AR8,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,2-349,D,0.01,Y,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440014,769HUDC-ML,FC,HUDCO-7.69%-15-3-31-TAXFREENCD,INE031A07AT4,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,2-349,D,0.01,Y,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440015,735IRF-ML,FC,IRFC-7.35%-22-3-31-NCDS,INE053F07884,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,3-348,D,0.01,N,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440016,764IRF-ML,FC,IRFC-7.64%-22-3-31-NCDS,INE053F07900,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,3-348,D,0.01,N,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
440017,735NABAR-ML,FC,NABARD-7.35%-23-3-31-NCDS,INE261F07057,1,100000,DB,0.0001,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,BSE,2-349,D,0.01,Y,A,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
