Company Name,Industry,Symbol,Series,ISIN Code
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Cartrade Tech Ltd.,Consumer Services,CARTRADE,EQ,INE290S01011
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Dummy Vedanta Ltd. 1,Metals & Mining,DUMMYVEDL1,EQ,DU1205A01025
Dummy Vedanta Ltd. 2,Power,DUMMYVEDL2,EQ,DU2205A01025
Dummy Vedanta Ltd. 3,Oil Gas & Consumable Fuels,DUMMYVEDL3,EQ,DU3205A01025
Dummy Vedanta Ltd. 4,Metals & Mining,DUMMYVEDL4,EQ,DU4205A01025
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016
Info Edge (India) Ltd.,Consumer Services,NAUKRI,EQ,INE663F01032
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
PB Fintech Ltd.,Financial Services,POLICYBZR,EQ,INE417T01026
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Wockhardt Ltd.,Healthcare,WOCKPHARMA,EQ,INE049B01025
